term,meaning,region,category,example,phonetic
الكَمَالتِي,المكافأة أو العطاء الإضافي إكراماً وتقديراً,darfur,كرم / تقاليد,أعطاه الكمالتي فوق حقه إكراماً له,Al Kamalti
دار صباح,مصطلح يشير للخرطوم والمناطق الشرقية والوسطى بالسودان,darfur,اتجاهات / جغرافيا,مسافرين دار صباح الأسبوع الجاي,Dar Sabah
أَبُو جَالُوفْ,لقب يطلق على الرجل الشجاع والكريم القوي,kordofan,صفة / مدح,ود أب جالوف ما برجع الضيف خايب,Abu Jaloof
المردوم,الرقصة والغناء التراثي الإيقاعي الشهير في كردفان,kordofan,فنون وتراث,ضربوا إيقاع المردوم في الحفلة والناس فرحانة,Al Mardoom
جَرَّارِي,نوع من الغناء والتراث البدوي الوجداني الأصيل بكردفان,kordofan,فنون وتراث,غنى صوت الجراري في صحراء كردفان,Jarrari
القُرَاضَة,الصمغ العربي الممتاز الناتج من أشجار الهشاب,kordofan,طبيعة وزراعة,كردفان هي موطن الصمغ العربي والقراضة الممتازة,Al Guradha
البَخْسَة,وعاء تقليدي مصنوع من القرع اليابس لحفظ وتبريد اللبن الرائب,kordofan,أواني وتراث,اللبن الرائب بارد في البخسة,Al Bakhsa
حَبَابْ المَنْقُوقْ,أهلاً وسهلاً بالشخص العزيز القادم من سفر بعيد,kordofan,ترحيب,حباب المنقوق اللي جانا بعد غيبة,Habab al Mangooq
شَجَرَة الهَشَابْ,الشجرة التاريخية المصدرة لأجود أنواع الصمغ العربي في العالم,kordofan,طبيعة وزراعة,غابات الهشاب تمتد في عروس الرمل الأبيض,Shajarat al Hashab
السَّعِينْ,قربة الجلد المصنوعة لحفظ الماء البارد أثناء التنقل,kordofan,أواني وتراث,شربنا من السعين موية عذبة وباردة,Al Sa'een
دابايوا,تحية السلام والترحيب بلغة البجا (البداويت) في شرق السودان,eastern,تحية / لغة بجاوية,دابايوا بكل زائر لمدينة كسلا والشرق,Dabaywa
دابايوا هَضَلْبَا,مرحباً بكم وأهلاً وسهلاً بأعلى درجات الحفاوة,eastern,ترحيب بجاوي,دابايوا هضلبا في جبال التاكا,Dabaywa Hadalba
السِّيفَابْ,النسمات والرياح العليلة الباردة القادمة من جهة البحر والجبال,eastern,طبيعة وثقافة,السيفاب عليل في عصريات كسلا,Al Seefab
السَّمْبَلْ,الجمال والأناقة والهدوء في المشي والحركة,eastern,صفة شعبية,زول سمبل ومحترم في تعامله,Al Sambal
جَبَنَة الشَّرْقْ,طريقة إعداد القهوة البجاوية في الجبنة الفخارية مع الزنجبيل والبهارات,eastern,مشروبات وتراث,جبنة الشرق بالزنجبيل ما ليها مثيل,Jabana al Sharq
جَبَل التَّاكَا,المعلم الطبيعي والتاريخي الأبرز بمدينة كسلا بشرق السودان,eastern,معالم ومعتقدات,جبل التاكا يزين مدينة كسلا الشامخة,Jabal al Taka
السِّدْرَة,جلسة التسامح والشورى بين شيوخ القبائل لحل القضايا,eastern,إدارة شعبية / أعراف,اجتمع الشيوخ في السدرة لحل المشكلة بالود,Al Sidra
مسكاقمي,تحية السلام بالنوبية (الدنقلاوية والمحسية والنوبين) وتعني: كيف حالكم؟,northern,تحية نوبية,مسكاقمي يا أهلنا في دنقلا وحلفا,Meskaqmi
إيقا كويي,عبارة بالنوبية تعني: هل أنت بخير وبصحة جيدة؟,northern,سؤال عن الحال,إيقا كويي؟ - الحمد لله كويي شديد,Iga Kooyee
إسي,الماء بالنوبية (الرطانة النوبية الأصيلة),northern,كلمات نوبية,جيب لينا إسي بارد نشرب,Essi
إكسي,الطعام والعيش بالنوبية,northern,كلمات نوبية,الإكسي جاهز اتفضلوا للغداء,Eksi
أميتي,الأخ أو الصديق العزيز بالنوبية,northern,علاقات ومحبة,يا أميتي حبابك في بلدك,Ameeti
تربل,المزارع الصبور الفلاح المرتبط بالأرض والنيل في الشمال,northern,مهن وتراث,التربل يصحى من الفجر لخدمة الجرف والنخيل,Turbal
السَّاقِيَة,الآلة المائية التاريخية المبتكرة في الشمال لرفع مياه النيل لزراعة الضفاف,northern,تراث وزراعة,صوت الساقية نغم سوداني أصيل في الشمال,Al Saqia
الجُرُفْ,الأرض الخصبة المتاخمة لشاطئ النيل التي تظهر بعد انحسار الفيضان,northern,زراعة وجغرافيا,زرعنا اللوبيا والخضار في الجرف,Al Juruf
الكُولِي,المفتاح الخشبي التقليدي للبيوت النوبية القديمة,northern,أدوات وتراث,قفل الباب بالكولي الخشبي القديم,Al Kooli
القَرَقُورْ,الزورق والقارب الصغير المخصص للتنقل والصيد بالنيل,northern,ملاحة نيلية,عبرنا النيل بالقرقور للضفة الغربية,Al Qaragoor
التَّقَرّابْ,جلسة التآنس السمرية الشتوية حول النار والنخيل,northern,تقاليد اجتماعية,اتجمعنا في التقّراب مع كبار السن نحكي القصص,Al Taqarrab
