id,region,category,topic,query,response,source
106,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللغة_النوبية)
107,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللغة_النوبية)
108,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللغة_النوبية)
109,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللغة_النوبية)
110,darfur,general,geography,تحدث عن geography في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (جبل_مرة)
111,darfur,general,geography,تحدث عن geography في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (جبل_مرة)
112,darfur,general,geography,تحدث عن geography في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (جبل_مرة)
113,darfur,general,geography,تحدث عن geography في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (جبل_مرة)
114,darfur,general,geography,تحدث عن geography في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (جبل_مرة)
115,darfur,general,geography,تحدث عن geography في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (جبل_مرة)
116,darfur,general,geography,تحدث عن geography في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (جبل_مرة)
117,darfur,general,geography,تحدث عن geography في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (جبل_مرة)
118,darfur,general,geography,تحدث عن geography في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (جبل_مرة)
119,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
120,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
121,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
122,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
123,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
124,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
125,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
126,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
127,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
128,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
129,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
130,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
131,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
132,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
133,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الخرطوم)
134,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
135,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
136,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
137,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
138,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
139,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
140,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
141,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
142,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
143,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
144,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
145,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
146,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
147,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
148,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كسلا)
149,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
150,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
151,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
152,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
153,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
154,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
155,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
156,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
157,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
158,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
159,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
160,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
161,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
162,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
163,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (دنقلة)
164,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
165,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
166,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
167,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
168,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
169,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
170,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
171,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
172,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
173,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
174,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
175,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
176,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
177,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
178,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (الأبيض_(مدينة))
179,khartoum,اسم / وصف,زول,تحدث عن زول في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,زول: تعني شخص أو إنسان. مثال: الزول دا طيب شديد.,sudanese_lexicon_db
180,khartoum,ترحيب / تحية,حبابك عشرة,تحدث عن حبابك عشرة في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,حبابك عشرة: تعني ترحيب حار جداً ومضاعف بالضيف. مثال: حبابك عشرة بلا كشرة تفضل داخل.,sudanese_lexicon_db
181,khartoum,نداء,آزول,تحدث عن آزول في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,آزول: تعني نداء للشخص بكل احترام وتودد. مثال: آزول تعال هنا دقيقة.,sudanese_lexicon_db
182,khartoum,تعبير مجازي,شديد ونظيف,تحدث عن شديد ونظيف في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,شديد ونظيف: تعني وصف للشيء الممتاز جداً أو الشخص الأنيق والصادق. مثال: الشغل دا طلع شديد ونظيف.,sudanese_lexicon_db
183,khartoum,تعبير مجازي,قاعد في أمان الله,تحدث عن قاعد في أمان الله في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,قاعد في أمان الله: تعني في حال سكون وسلام دون إزعاج. مثال: كنت قاعد في أمان الله وفجأة جاني اتصال.,sudanese_lexicon_db
184,khartoum,أثاث وتراث,عنقريب,تحدث عن عنقريب في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,عنقريب: تعني سرير تقليدي سوداني مصنوع من الخشب والمحبوك بالحبال أو القماش. مثال: اتفضل استريح في العنقريب دا.,sudanese_lexicon_db
185,khartoum,تعبير شعبية,بنسبرين,تحدث عن بنسبرين في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,بنسبرين: تعني الماء البارد جداً المصحوب بالراحة (تعبير شعبي عن الانتعاش). مثال: جيب لينا كباية موية مثلجة بنسبرين.,sudanese_lexicon_db
186,khartoum,أمر / حركة,أقيف على حيلك,تحدث عن أقيف على حيلك في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,أقيف على حيلك: تعني قف وانتصب واقفاً. مثال: أقيف على حيلك سلم على الضيوف.,sudanese_lexicon_db
187,khartoum,سؤال شعبي,يا زول انتميت لشنو,تحدث عن يا زول انتميت لشنو في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,يا زول انتميت لشنو: تعني ما هو أصلك أو وجهتك أو هدفك. مثال: يا زول انتميت لشنو في الموضوع دا؟.,sudanese_lexicon_db
188,khartoum,مشروبات وتراث,جبنة,تحدث عن جبنة في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,جبنة: تعني قهوة سودانية تقليدية معتقة بالبهارات تُصنع في القلاية وتُصب في الفنجان. مثال: تعال نشرب الجبنة في الضلاية.,sudanese_lexicon_db
189,khartoum,تعبير عن المشاعر,سجم أمي,تحدث عن سجم أمي في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,سجم أمي: تعني تعبير عن الصدمة أو الدهشة أو الحسرة. مثال: سجم أمي النور قطع تاني!.,sudanese_lexicon_db
190,khartoum,ترحيب / كرم,أبشر بالخير,تحدث عن أبشر بالخير في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,أبشر بالخير: تعني عبارة تشجيع وتضامن وكرم سوداني أصيل. مثال: أبشر بالخير والكرامة، حاجتك مقضية.,sudanese_lexicon_db
191,khartoum,حنين / شعر,يا حليل أيام زمان,تحدث عن يا حليل أيام زمان في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,يا حليل أيام زمان: تعني التغني بالحنين والاشتياق للماضي الجميلة. مثال: يا حليل أيام زمان واللمة الطيبة.,sudanese_lexicon_db
192,khartoum,عمارة تقليدية,راكوبة,تحدث عن راكوبة في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,راكوبة: تعني مظلة مصنوعة من القش والحطب توفر الظل والبرودة. مثال: عدنا للجلسة تحت الراكوبة في العصرية.,sudanese_lexicon_db
